Charm++> Running on Gemini (GNI) with 45 processes
Charm++> static SMSG
Charm++> SMSG memory: 222.2KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 45,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 4 5 6 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 7 BY 6 BY 8
Redirecting stdout to files output_000/0/job0.0.log through 44
EXCHANGE_ACCEPT 23 (25) 24 (23) RUN 23
EXCHANGE_ACCEPT 16 (15) 17 (16) RUN 24
EXCHANGE_ACCEPT 42 (44) 43 (43) RUN 24
EXCHANGE_ACCEPT 24 (25) 25 (24) RUN 24
EXCHANGE_ACCEPT 11 (11) 12 (12) RUN 25
EXCHANGE_ACCEPT 41 (41) 42 (43) RUN 25
EXCHANGE_ACCEPT 43 (44) 44 (42) RUN 25
EXCHANGE_ACCEPT 16 (16) 17 (15) RUN 26
EXCHANGE_ACCEPT 7 (8) 8 (7) RUN 27
EXCHANGE_ACCEPT 41 (43) 42 (41) RUN 27
EXCHANGE_ACCEPT 43 (42) 44 (44) RUN 27
EXCHANGE_ACCEPT 19 (20) 20 (18) RUN 27
EXCHANGE_ACCEPT 29 (28) 30 (30) RUN 27
EXCHANGE_ACCEPT 16 (15) 17 (16) RUN 28
EXCHANGE_ACCEPT 38 (38) 39 (40) RUN 28
EXCHANGE_ACCEPT 26 (26) 27 (27) RUN 28
EXCHANGE_ACCEPT 11 (12) 12 (11) RUN 29
EXCHANGE_ACCEPT 43 (44) 44 (42) RUN 29
EXCHANGE_ACCEPT 17 (15) 18 (19) RUN 29
EXCHANGE_ACCEPT 22 (22) 23 (23) RUN 30
EXCHANGE_ACCEPT 42 (43) 43 (42) RUN 30
EXCHANGE_ACCEPT 16 (16) 17 (19) RUN 30
EXCHANGE_ACCEPT 24 (24) 25 (25) RUN 30
EXCHANGE_ACCEPT 32 (32) 33 (33) RUN 30
EXCHANGE_ACCEPT 30 (28) 31 (31) RUN 30
EXCHANGE_ACCEPT 9 (10) 10 (9) RUN 31
EXCHANGE_ACCEPT 11 (11) 12 (12) RUN 31
EXCHANGE_ACCEPT 17 (16) 18 (15) RUN 31
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 31
EXCHANGE_ACCEPT 21 (21) 22 (23) RUN 31
EXCHANGE_ACCEPT 23 (22) 24 (25) RUN 31
EXCHANGE_ACCEPT 37 (36) 38 (40) RUN 31
